,Actual,Predicted
406,1945.5999755859373,1685.3803096323804
407,1919.199951171875,1673.6584361770738
408,1925.4000244140625,1679.7873930791914
409,1916.5999755859373,1663.287904445373
410,1900.4000244140625,1656.598321031304
411,1871.5999755859373,1640.7482518852917
412,1860.4000244140625,1642.838953444935
413,1848.0999755859373,1638.0546150161806
414,1830.0,1606.7167126170636
415,1824.5999755859373,1598.010811188073
416,1818.5,1597.5875370291392
417,1816.5999755859373,1596.6214527152931
418,1830.199951171875,1608.4645011238292
419,1849.5,1613.5237553250709
420,1861.0,1623.4890991575592
421,1872.800048828125,1631.232166408038
422,1869.300048828125,1620.1035518579347
423,1927.4000244140625,1647.28034406253
424,1921.0999755859373,1638.8048718324308
425,1922.699951171875,1637.1595667333822
426,1955.300048828125,1634.8165552335133
427,1968.4000244140625,1628.7554735719177
428,1982.5,1643.7046444260639
429,1976.300048828125,1641.5899869764532
430,1975.0,1639.713212613211
431,1984.0999755859373,1629.2858449706341
432,1987.199951171875,1633.1481736439766
433,1988.5999755859373,1632.534040347565
434,1996.199951171875,1641.5594448933498
435,1985.199951171875,1631.957194984357
436,1978.800048828125,1634.2578217540502
437,1985.5999755859373,1643.882049441757
438,1991.5,1661.9976302895343
439,1981.5999755859373,1654.8948665496414
440,1966.800048828125,1646.0910207799498
441,1951.5,1651.9129955238825
442,1964.199951171875,1649.5598768514194
443,1932.5999755859373,1635.4298062798225
444,1945.5,1636.327747242899
445,1961.800048828125,1670.1954440101701
446,1960.0999755859373,1673.974329928049
447,1983.9000244140625,1689.2126609036648
448,1981.5999755859373,1688.3281573682232
449,1977.699951171875,1684.8117472925915
450,1999.300048828125,1691.2393160299598
451,1991.4000244140625,1686.0604088223085
452,2002.199951171875,1697.9034061301195
453,2011.800048828125,1710.9446326515115
454,2039.699951171875,1721.384211820751
455,2047.0999755859373,1728.165049044336
456,2038.0999755859373,1728.681137590319
457,2071.0,1741.6355657465929
458,2024.0999755859373,1715.011029952921
459,2018.5,1713.711234385907
460,2030.5,1709.1579203550473
461,2029.9000244140625,1705.2060650936764
462,1998.300048828125,1680.2504548161385
463,1978.0,1676.7182356258982
464,1977.800048828125,1678.5485422297818
465,1982.300048828125,1690.1495823422179
